0:0:0:0:0:0:0:1 - - [24/Mar/2020:19:51:53 +0530] "GET /Project_3/WelcomeCtl HTTP/1.1" 200 6305
0:0:0:0:0:0:0:1 - - [24/Mar/2020:19:52:13 +0530] "GET /Project_3/LoginCtl?operation=logout HTTP/1.1" 200 6763
0:0:0:0:0:0:0:1 - - [24/Mar/2020:19:52:27 +0530] "POST /Project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Mar/2020:19:52:27 +0530] "GET /Project_3/WelcomeCtl HTTP/1.1" 200 10763
0:0:0:0:0:0:0:1 - - [24/Mar/2020:19:52:42 +0530] "GET /Project_3/ctl/TimeTableListCtl HTTP/1.1" 200 15531
0:0:0:0:0:0:0:1 - - [24/Mar/2020:19:52:46 +0530] "GET /Project_3/ctl/TimeTableCtl HTTP/1.1" 200 17091
0:0:0:0:0:0:0:1 - - [24/Mar/2020:21:03:36 +0530] "POST /Project_3/ctl/TimeTableCtl HTTP/1.1" 200 11298
0:0:0:0:0:0:0:1 - - [24/Mar/2020:21:03:44 +0530] "GET /Project_3/LoginCtl HTTP/1.1" 200 6549
0:0:0:0:0:0:0:1 - - [24/Mar/2020:21:03:54 +0530] "POST /Project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Mar/2020:21:03:54 +0530] "GET /Project_3/WelcomeCtl HTTP/1.1" 200 10763
0:0:0:0:0:0:0:1 - - [24/Mar/2020:21:04:03 +0530] "GET /Project_3/ctl/FacultyListCtl HTTP/1.1" 200 12547
0:0:0:0:0:0:0:1 - - [24/Mar/2020:21:04:07 +0530] "GET /Project_3/ctl/FacultyCtl HTTP/1.1" 200 18723
0:0:0:0:0:0:0:1 - - [24/Mar/2020:21:07:36 +0530] "POST /Project_3/ctl/FacultyCtl HTTP/1.1" 200 18829
0:0:0:0:0:0:0:1 - - [24/Mar/2020:21:09:07 +0530] "POST /Project_3/ctl/FacultyCtl HTTP/1.1" 200 19045
0:0:0:0:0:0:0:1 - - [24/Mar/2020:21:09:28 +0530] "GET /Project_3/ctl/FacultyListCtl HTTP/1.1" 200 15347
0:0:0:0:0:0:0:1 - - [24/Mar/2020:21:12:18 +0530] "GET /Project_3/ctl/TimeTableListCtl HTTP/1.1" 200 16037
0:0:0:0:0:0:0:1 - - [24/Mar/2020:21:12:23 +0530] "GET /Project_3/ctl/SubjectListCtl HTTP/1.1" 200 14750
0:0:0:0:0:0:0:1 - - [24/Mar/2020:21:12:51 +0530] "GET /Project_3/ctl/FacultyListCtl HTTP/1.1" 200 15347
0:0:0:0:0:0:0:1 - - [24/Mar/2020:21:17:35 +0530] "GET /Project_3/ctl/FacultyListCtl HTTP/1.1" 200 15428
0:0:0:0:0:0:0:1 - - [24/Mar/2020:21:19:18 +0530] "GET /Project_3/ctl/FacultyListCtl HTTP/1.1" 200 15524
0:0:0:0:0:0:0:1 - - [24/Mar/2020:21:19:53 +0530] "GET /Project_3/ctl/FacultyListCtl HTTP/1.1" 200 15530
0:0:0:0:0:0:0:1 - - [24/Mar/2020:21:21:01 +0530] "GET /Project_3/ctl/FacultyListCtl HTTP/1.1" 200 15530
0:0:0:0:0:0:0:1 - - [24/Mar/2020:21:22:22 +0530] "GET /Project_3/ctl/FacultyListCtl HTTP/1.1" 200 15347
0:0:0:0:0:0:0:1 - - [24/Mar/2020:21:26:48 +0530] "GET /Project_3/ctl/FacultyListCtl HTTP/1.1" 200 15511
0:0:0:0:0:0:0:1 - - [24/Mar/2020:21:27:16 +0530] "GET /Project_3/ctl/FacultyListCtl HTTP/1.1" 200 15501
0:0:0:0:0:0:0:1 - - [24/Mar/2020:21:29:05 +0530] "GET /Project_3/ctl/FacultyListCtl HTTP/1.1" 200 15455
0:0:0:0:0:0:0:1 - - [24/Mar/2020:21:30:16 +0530] "GET /Project_3/ctl/FacultyListCtl HTTP/1.1" 200 15455
0:0:0:0:0:0:0:1 - - [24/Mar/2020:21:30:42 +0530] "GET /Project_3/ctl/FacultyListCtl HTTP/1.1" 200 15356
0:0:0:0:0:0:0:1 - - [24/Mar/2020:21:31:36 +0530] "GET /Project_3/ctl/TimeTableListCtl HTTP/1.1" 200 16037
0:0:0:0:0:0:0:1 - - [24/Mar/2020:21:33:31 +0530] "GET /Project_3/ctl/TimeTableListCtl HTTP/1.1" 200 16037
0:0:0:0:0:0:0:1 - - [24/Mar/2020:21:33:39 +0530] "GET /Project_3/ctl/FacultyListCtl HTTP/1.1" 200 15374
0:0:0:0:0:0:0:1 - - [24/Mar/2020:21:33:48 +0530] "GET /Project_3/ctl/SubjectListCtl HTTP/1.1" 200 14750
0:0:0:0:0:0:0:1 - - [24/Mar/2020:21:34:09 +0530] "GET /Project_3/ctl/SubjectListCtl HTTP/1.1" 200 14768
0:0:0:0:0:0:0:1 - - [24/Mar/2020:21:36:45 +0530] "GET /Project_3/ctl/SubjectListCtl HTTP/1.1" 200 14768
0:0:0:0:0:0:0:1 - - [24/Mar/2020:21:36:50 +0530] "GET /Project_3/ctl/TimeTableListCtl HTTP/1.1" 200 16077
0:0:0:0:0:0:0:1 - - [24/Mar/2020:21:36:53 +0530] "GET /Project_3/ctl/TimeTableListCtl HTTP/1.1" 200 16077
0:0:0:0:0:0:0:1 - - [24/Mar/2020:21:36:57 +0530] "GET /Project_3/ctl/FacultyListCtl HTTP/1.1" 200 15374
0:0:0:0:0:0:0:1 - - [24/Mar/2020:21:39:33 +0530] "GET /Project_3/ctl/FacultyListCtl HTTP/1.1" 200 15374
0:0:0:0:0:0:0:1 - - [24/Mar/2020:21:39:38 +0530] "GET /Project_3/ctl/TimeTableListCtl HTTP/1.1" 200 16077
0:0:0:0:0:0:0:1 - - [24/Mar/2020:21:39:42 +0530] "POST /Project_3/ctl/TimeTableListCtl HTTP/1.1" 200 15799
0:0:0:0:0:0:0:1 - - [24/Mar/2020:21:39:47 +0530] "GET /Project_3/ctl/TimeTableListCtl HTTP/1.1" 200 15552
0:0:0:0:0:0:0:1 - - [24/Mar/2020:21:43:43 +0530] "GET /Project_3/ctl/SubjectListCtl HTTP/1.1" 200 14768
0:0:0:0:0:0:0:1 - - [24/Mar/2020:21:43:50 +0530] "GET /Project_3/ctl/TimeTableListCtl HTTP/1.1" 200 15552
0:0:0:0:0:0:0:1 - - [24/Mar/2020:21:44:09 +0530] "GET /Project_3/ctl/TimeTableListCtl HTTP/1.1" 200 15552
0:0:0:0:0:0:0:1 - - [24/Mar/2020:21:44:15 +0530] "GET /Project_3/ctl/TimeTableListCtl HTTP/1.1" 200 15552
0:0:0:0:0:0:0:1 - - [24/Mar/2020:21:46:12 +0530] "GET /Project_3/ctl/FacultyListCtl HTTP/1.1" 200 15348
0:0:0:0:0:0:0:1 - - [24/Mar/2020:21:46:18 +0530] "GET /Project_3/ctl/TimeTableListCtl HTTP/1.1" 200 15552
0:0:0:0:0:0:0:1 - - [24/Mar/2020:21:46:36 +0530] "GET /Project_3/ctl/TimeTableListCtl HTTP/1.1" 200 15525
0:0:0:0:0:0:0:1 - - [24/Mar/2020:21:54:51 +0530] "GET /Project_3/ctl/TimeTableListCtl HTTP/1.1" 200 15532
0:0:0:0:0:0:0:1 - - [24/Mar/2020:21:57:26 +0530] "GET /Project_3/ctl/SubjectListCtl HTTP/1.1" 200 14793
0:0:0:0:0:0:0:1 - - [24/Mar/2020:22:01:58 +0530] "GET /Project_3/ctl/SubjectListCtl HTTP/1.1" 200 14768
0:0:0:0:0:0:0:1 - - [24/Mar/2020:22:02:06 +0530] "GET /Project_3/ctl/SubjectCtl HTTP/1.1" 200 14706
0:0:0:0:0:0:0:1 - - [24/Mar/2020:22:02:16 +0530] "POST /Project_3/ctl/SubjectCtl HTTP/1.1" 200 14913
0:0:0:0:0:0:0:1 - - [24/Mar/2020:22:02:32 +0530] "GET /Project_3/ctl/CourseListCtl HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [24/Mar/2020:22:02:40 +0530] "GET /Project_3/ctl/SubjectListCtl HTTP/1.1" 200 14768
0:0:0:0:0:0:0:1 - - [24/Mar/2020:22:02:48 +0530] "GET /Project_3/ctl/SubjectCtl HTTP/1.1" 200 14706
0:0:0:0:0:0:0:1 - - [24/Mar/2020:22:03:02 +0530] "GET /Project_3/ctl/CourseCtl HTTP/1.1" 200 14856
0:0:0:0:0:0:0:1 - - [24/Mar/2020:22:03:42 +0530] "POST /Project_3/ctl/CourseCtl HTTP/1.1" 200 15091
0:0:0:0:0:0:0:1 - - [24/Mar/2020:22:03:53 +0530] "GET /Project_3/ctl/CourseListCtl HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [24/Mar/2020:22:04:01 +0530] "GET /Project_3/ctl/SubjectListCtl HTTP/1.1" 200 14798
0:0:0:0:0:0:0:1 - - [24/Mar/2020:22:04:05 +0530] "GET /Project_3/ctl/SubjectCtl HTTP/1.1" 200 14736
0:0:0:0:0:0:0:1 - - [24/Mar/2020:22:05:28 +0530] "POST /Project_3/ctl/SubjectCtl HTTP/1.1" 200 14976
0:0:0:0:0:0:0:1 - - [24/Mar/2020:22:05:33 +0530] "GET /Project_3/ctl/SubjectListCtl HTTP/1.1" 200 15135
0:0:0:0:0:0:0:1 - - [24/Mar/2020:22:07:02 +0530] "GET /Project_3/ctl/TimeTableListCtl HTTP/1.1" 200 15587
0:0:0:0:0:0:0:1 - - [24/Mar/2020:22:10:33 +0530] "GET /Project_3/ctl/SubjectListCtl HTTP/1.1" 200 15135
0:0:0:0:0:0:0:1 - - [24/Mar/2020:22:10:46 +0530] "GET /Project_3/ctl/TimeTableListCtl HTTP/1.1" 200 15587
0:0:0:0:0:0:0:1 - - [24/Mar/2020:22:10:50 +0530] "GET /Project_3/ctl/SubjectListCtl HTTP/1.1" 200 15135
0:0:0:0:0:0:0:1 - - [24/Mar/2020:22:11:21 +0530] "GET /Project_3/ctl/TimeTableListCtl HTTP/1.1" 200 15587
0:0:0:0:0:0:0:1 - - [24/Mar/2020:22:11:27 +0530] "GET /Project_3/ctl/SubjectListCtl HTTP/1.1" 200 15135
0:0:0:0:0:0:0:1 - - [24/Mar/2020:22:12:17 +0530] "GET /Project_3/ctl/CourseListCtl HTTP/1.1" 404 1058
